
SampleRate=19531, frq_max = 438.7, mag_max = 122.608444
Freq	Mag	Mag(dB)
0.0	7.217299	8.583747
9.5	34.926086	15.431499
19.1	35.304111	15.478253
28.6	20.967009	13.215364
38.1	12.759035	11.058178
47.7	29.750072	14.734880
57.2	44.459583	16.479654
66.8	18.605259	12.696357
76.3	7.083621	8.502552
85.8	10.366189	10.156192
95.4	14.952359	11.747098
104.9	42.364666	16.270039
114.4	29.964140	14.766018
124.0	8.017447	9.040361
133.5	11.619982	10.652055
143.0	13.968118	11.451379
152.6	13.054358	11.157556
162.1	6.320832	8.007743
171.7	9.584139	9.815531
181.2	8.836161	9.462636
190.7	3.435316	5.359668
200.3	19.220196	12.837578
209.8	15.971768	12.033530
219.3	15.101212	11.790118
228.9	14.432316	11.593361
238.4	13.143239	11.187024
248.0	12.286606	10.894319
257.5	3.823098	5.824154
267.0	7.299688	8.633042
276.6	6.383545	8.050619
286.1	8.183773	9.129536
295.6	17.177605	12.349626
305.2	10.999590	10.413765
314.7	5.222289	7.178609
324.2	7.705618	8.868075
333.8	11.336481	10.544783
343.3	14.341218	11.565861
352.9	11.450146	10.588111
362.4	4.424073	6.458223
371.9	1.093867	0.389645
381.5	2.013407	3.039317
391.0	5.520911	7.420107
400.5	9.265140	9.668520
410.1	8.727677	9.408987
419.6	4.890080	6.893160
429.1	61.295372	17.874277
438.7	122.608444	20.885202
448.2	62.629826	17.967812
457.8	4.150921	6.181445
467.3	4.671948	6.694980
476.8	8.221431	9.149474
486.4	6.582138	8.183670
495.9	2.778524	4.438142
505.4	0.687732	-1.625806
515.0	3.174713	5.017045
524.5	3.949959	5.965926
534.1	3.913467	5.925617
543.6	5.893810	7.703961
553.1	6.221557	7.938991
562.7	5.219309	7.176130
572.2	8.208745	9.142768
581.7	7.485954	8.742472
591.3	3.177084	5.020287
600.8	2.698833	4.311759
610.3	8.441460	9.264175
619.9	7.886298	8.968732
629.4	4.596844	6.624598
639.0	4.662147	6.685859
648.5	6.544340	8.158659
658.0	3.615495	5.581678
667.6	3.583903	5.543563
677.1	5.972129	7.761292
686.6	4.232445	6.265913
696.2	3.841249	5.844726
705.7	2.494355	3.969582
715.2	4.519441	6.550847
724.8	3.378894	5.287745
734.3	1.046102	0.195739
743.9	1.610958	2.070842
753.4	4.302995	6.337708
762.9	5.993725	7.776968
772.5	4.840151	6.848589
782.0	2.744525	4.384672
791.5	2.089020	3.199427
801.1	2.577005	4.111152
810.6	6.448011	8.094258
820.1	3.135108	4.962525
829.7	4.486661	6.519232
839.2	5.933944	7.733435
848.8	1.356790	1.325126
858.3	4.555817	6.585662
867.8	4.641930	6.666986
877.4	5.244783	7.197275
886.9	8.510992	9.299802
896.4	10.734183	10.307690
906.0	4.275696	6.310068
915.5	4.467024	6.500183
925.1	3.326021	5.219250
934.6	1.415706	1.509730
944.1	4.036985	6.060572
953.7	6.682676	8.249504
963.2	4.829801	6.839292
972.7	0.848726	-0.712326
982.3	2.079351	3.179278
991.8	4.499779	6.531911
1001.3	5.469604	7.379560
1010.9	2.817593	4.498782
1020.4	1.511189	1.793187
1030.0	4.431376	6.465386
1039.5	2.887718	4.605548
1049.0	2.899431	4.623127
1058.6	2.808323	4.484471
1068.1	2.153595	3.331641
1077.6	1.719404	2.353780
1087.2	1.133500	0.544217
1096.7	1.775490	2.493181
1106.2	1.851470	2.675166
1115.8	1.411158	1.495757
1125.3	2.731295	4.363687
1134.9	6.879331	8.375463
1144.4	5.795285	7.630748
1153.9	2.105025	3.232573
1163.5	0.860976	-0.650090
1173.0	3.714417	5.698907
1182.5	4.965192	6.959360
1192.1	6.917964	8.399783
1201.6	6.638835	8.220920
1211.2	5.059329	7.040929
1220.7	3.179346	5.023378
1230.2	4.225448	6.258727
1239.8	2.101360	3.225005
1249.3	1.361628	1.340584
1258.8	2.348050	3.707074
1268.4	0.921210	-0.356415
1277.9	4.907152	6.908295
1287.4	4.663713	6.687319
1297.0	5.180455	7.143679
1306.5	4.337323	6.372218
1316.1	2.210603	3.445108
1325.6	2.153865	3.332185
1335.1	2.726602	4.356217
1344.7	1.671439	2.230906
1354.2	0.993085	-0.030135
1363.7	1.743523	2.414278
1373.3	1.971060	2.946999
1382.8	1.963151	2.929537
1392.3	2.424196	3.845677
1401.9	3.596364	5.558638
1411.4	3.377503	5.285957
1421.0	2.653742	4.238587
1430.5	2.973794	4.733109
1440.0	0.665460	-1.768778
1449.6	2.705753	4.322881
1459.1	2.073792	3.167652
1468.6	2.225889	3.475035
1478.2	1.301812	1.145481
1487.7	0.274750	-5.610622
1497.2	0.919915	-0.362521
1506.8	0.605737	-2.177158
1516.3	1.267110	1.028144
1525.9	0.412559	-3.845142
1535.4	1.588998	2.011233
1544.9	1.473364	1.683100
1554.5	2.557652	4.078414
1564.0	2.990765	4.757823
1573.5	3.060585	4.858045
1583.1	3.145659	4.977117
1592.6	1.471839	1.678603
1602.2	1.446172	1.602201
1611.7	2.254720	3.530926
1621.2	3.288717	5.170265
1630.8	5.464406	7.375430
1640.3	5.624154	7.500572
1649.8	2.895029	4.616529
1659.4	3.873956	5.881547
1668.9	3.366058	5.271216
1678.4	2.451582	3.894465
1688.0	2.157947	3.340407
1697.5	1.486340	1.721181
1707.1	1.081584	0.340604
1716.6	1.327141	1.229169
1726.1	2.107215	3.237089
1735.7	1.920928	2.835111
1745.2	3.092178	4.902645
1754.7	3.563889	5.519241
1764.3	2.497782	3.975546
1773.8	2.423312	3.844094
1783.3	1.611020	2.071009
1792.9	1.999387	3.008968
1802.4	3.135644	4.963268
1812.0	1.371550	1.372118
1821.5	0.532272	-2.738664
1831.0	1.476997	1.693797
1840.6	2.580732	4.117430
1850.1	2.098260	3.218593
1859.6	1.687186	2.271630
1869.2	1.369424	1.365379
1878.7	0.939500	-0.271034
1888.3	1.239422	0.932192
1897.8	1.449325	1.611657
1907.3	2.253905	3.529355
1916.9	1.621109	2.098122
1926.4	1.679308	2.251304
1935.9	3.872421	5.879826
1945.5	3.186302	5.032869
1955.0	0.546516	-2.623973
1964.5	2.502492	3.983728
1974.1	2.729413	4.360692
1983.6	2.698198	4.310738
1993.2	1.107169	0.442140
