SampleRate=19531, frq_max = 57.2, mag_max = 10780.920898
Freq	Mag	Mag(dB)
0.0	1221.843384	30.870155
9.5	2044.375366	33.105606
19.1	1300.919922	31.142506
28.6	1239.971924	30.934120
38.1	618.123108	27.910749
47.7	7161.818848	38.550232
57.2	10780.920898	40.326557
66.8	3358.071533	35.260899
76.3	4637.078613	36.662445
85.8	2771.480713	34.427116
95.4	813.850830	29.105450
104.9	2965.984619	34.721687
114.4	4887.032227	36.890453
124.0	2828.984131	34.516304
133.5	989.998230	29.956345
143.0	1986.467773	32.980812
152.6	2519.567139	34.013260
162.1	2297.770508	33.613068
171.7	1371.973755	31.373459
181.2	2336.487305	33.685635
190.7	4944.691895	36.941391
200.3	4601.805176	36.629284
209.8	2712.138916	34.333118
219.3	1945.798706	32.890976
228.9	2157.474854	33.339458
238.4	1860.650146	32.696648
248.0	1015.281555	30.065865
257.5	2039.209106	33.094620
267.0	3264.225586	35.137802
276.6	2454.637695	33.899876
286.1	1217.514893	30.854742
295.6	618.476196	27.913229
305.2	546.419189	27.375259
314.7	836.616516	29.225264
324.2	1068.342285	30.287104
333.8	837.501160	29.229853
343.3	1147.365356	30.597017
352.9	1137.307617	30.558779
362.4	575.257446	27.598621
371.9	2659.567627	34.248112
381.5	2580.946533	34.117790
391.0	494.728851	26.943672
400.5	771.878662	28.875488
410.1	395.691284	25.973566
419.6	359.828094	25.560951
429.1	1017.511597	30.075394
438.7	972.168213	29.877415
448.2	721.877014	28.584633
457.8	626.919006	27.972115
467.3	102.590019	20.111050
476.8	374.074799	25.729584
486.4	878.750061	29.438652
495.9	904.960022	29.566292
505.4	1125.253784	30.512505
515.0	952.563171	29.788937
524.5	1046.491821	30.197357
534.1	693.722473	28.411858
543.6	808.177734	29.075069
553.1	775.212952	28.894211
562.7	453.538605	26.566143
572.2	405.001740	26.074570
581.7	656.478027	28.172203
591.3	678.492920	28.315453
600.8	936.879456	29.716837
610.3	923.118042	29.652573
619.9	1818.459595	32.597038
629.4	1092.167358	30.382893
639.0	568.412476	27.546637
648.5	723.926880	28.596947
658.0	508.235840	27.060652
667.6	1127.672363	30.521830
677.1	699.105225	28.445425
686.6	528.544983	27.230820
696.2	1185.487793	30.738972
705.7	1516.231934	31.807655
715.2	1187.039429	30.744650
724.8	611.229004	27.862038
734.3	553.178467	27.428654
743.9	796.322388	29.010889
753.4	763.518738	28.828197
762.9	318.669250	25.033401
772.5	67.685844	18.304979
782.0	391.050446	25.922327
791.5	550.905701	27.410772
801.1	288.781891	24.605698
810.6	552.476196	27.423136
820.1	884.501038	29.466984
829.7	609.885559	27.852482
839.2	284.666016	24.543358
848.8	770.493225	28.867687
858.3	866.523010	29.377802
867.8	159.338791	22.023216
877.4	358.598175	25.546082
886.9	812.265015	29.096977
896.4	553.170837	27.428593
906.0	221.103088	23.445948
915.5	360.588837	25.570124
925.1	815.542542	29.114466
934.6	959.254028	29.819336
944.1	673.099182	28.280790
953.7	238.891434	23.782005
963.2	561.399048	27.492716
972.7	525.251648	27.203674
982.3	275.164948	24.395931
991.8	579.881592	27.633392
1001.3	632.836487	28.012915
1010.9	460.088013	26.628408
1020.4	674.645569	28.290756
1030.0	380.641968	25.805166
1039.5	131.587418	21.192142
1049.0	482.594727	26.835825
1058.6	531.949280	27.258701
1068.1	202.893250	23.072678
1077.6	128.471924	21.088083
1087.2	137.771454	21.391592
1096.7	706.026062	28.488207
1106.2	831.067688	29.196365
1115.8	243.036926	23.856724
1125.3	360.387024	25.567692
1134.9	671.782532	28.272287
1144.4	750.122803	28.751324
1153.9	445.256470	26.486101
1163.5	89.509949	19.518713
1173.0	459.304657	26.621008
1182.5	483.688446	26.845657
1192.1	290.473877	24.631071
1201.6	148.326721	21.712193
1211.2	556.694031	27.456167
1220.7	673.892822	28.285908
1230.2	295.141205	24.700298
1239.8	257.841339	24.113525
1249.3	346.266388	25.394104
1258.8	432.995178	26.364832
1268.4	894.913879	29.517813
1277.9	403.452667	26.057926
1287.4	364.863892	25.621309
1297.0	719.484436	28.570213
1306.5	367.654358	25.654396
1316.1	594.863770	27.744177
1325.6	747.085571	28.733704
1335.1	224.830536	23.518553
1344.7	406.429047	26.089848
1354.2	1197.741821	30.783632
1363.7	856.784241	29.328712
1373.3	421.461304	26.247578
1382.8	511.667999	27.089882
1392.3	348.214691	25.418470
1401.9	371.618317	25.700972
1411.4	246.622620	23.920328
1421.0	262.885132	24.197659
1430.5	154.628815	21.892906
1440.0	135.724274	21.326576
1449.6	166.752945	22.220736
1459.1	32.096222	15.064539
1468.6	238.075500	23.767147
1478.2	160.641418	22.058575
1487.7	202.740448	23.069403
1497.2	496.653778	26.960537
1506.8	364.797272	25.620516
1516.3	41.194565	16.148399
1525.9	160.955002	22.067043
1535.4	136.527588	21.352205
1544.9	259.579102	24.142696
1554.5	390.504120	25.916256
1564.0	310.745667	24.924051
1573.5	48.423935	16.850601
1583.1	123.959793	20.932808
1592.6	198.795853	22.984074
1602.2	252.769485	24.027248
1611.7	203.065216	23.076355
1621.2	300.325317	24.775921
1630.8	218.603195	23.396566
1640.3	210.329437	23.229000
1649.8	488.503265	26.888676
1659.4	236.765366	23.743181
1668.9	41.432941	16.173458
1678.4	331.772186	25.208399
1688.0	557.982239	27.466204
1697.5	422.113770	26.254295
1707.1	364.399414	25.615778
1716.6	350.472076	25.446533
1726.1	688.315125	28.377874
1735.7	551.779907	27.417660
1745.2	478.978333	26.803160
1754.7	328.385925	25.163845
1764.3	209.807587	23.218212
1773.8	248.522568	23.953659
1783.3	89.034042	19.495562
1792.9	424.042175	26.274090
1802.4	309.205505	24.902473
1812.0	127.928070	21.069658
1821.5	289.270813	24.613047
1831.0	300.978394	24.785355
1840.6	83.800354	19.232460
1850.1	373.422821	25.722008
1859.6	315.323151	24.987560
1869.2	18.211252	12.603398
1878.7	137.174057	21.372719
1888.3	405.283264	26.077587
1897.8	339.673706	25.310619
1907.3	196.995499	22.944563
1916.9	27.184902	14.343279
1926.4	92.062897	19.640846
1935.9	66.287636	18.214325
1945.5	108.085579	20.337677
1955.0	123.544930	20.918251
1964.5	175.530609	22.443527
1974.1	266.089233	24.250275
1983.6	98.071274	19.915419
1993.2	92.592682	19.665768
2002.7	96.374153	19.839607
2012.2	187.618027	22.732746
2021.8	114.884201	20.602604
2031.3	189.677658	22.780161
2040.8	226.174515	23.544436
2050.4	209.189453	23.205397
2059.9	56.136936	17.492487
2069.4	146.661423	21.663158
2079.0	134.608627	21.290730
2088.5	174.146881	22.409157
2098.1	239.844727	23.799303
2107.6	169.040115	22.279896
2117.1	59.335274	17.733130
2126.7	109.997215	20.413816
2136.2	192.559769	22.845654
2145.7	230.080750	23.618803
2155.3	103.887314	20.165625
2164.8	158.727386	22.006519
2174.3	249.940445	23.978367
2183.9	131.121933	21.176754
2193.4	30.024220	14.774717
2203.0	116.231773	20.653248
2212.5	183.186249	22.628929
2222.0	278.099609	24.442003
2231.6	170.523972	22.317856
2241.1	105.841438	20.246559
2250.6	136.906296	21.364233
2260.2	110.106316	20.418121
2269.7	193.884201	22.875423
2279.3	268.648682	24.291847
2288.8	109.070572	20.377075
2298.3	103.056938	20.130772
2307.9	58.436787	17.666862
2317.4	157.440521	21.971167
2326.9	246.049286	23.910221
2336.5	311.295013	24.931721
2346.0	233.757263	23.687651
