SampleRate=19531, frq_max = 438.7, mag_max = 82097.882812
Freq	Mag	Mag(dB)
0.0	4787.008301	36.800644
9.5	5289.281738	37.233967
19.1	5215.367188	37.172848
28.6	2980.980957	34.743591
38.1	6239.026855	37.951168
47.7	4517.235840	36.548725
57.2	3302.087891	35.187885
66.8	7837.686523	38.941879
76.3	6137.066895	37.879608
85.8	2113.396484	33.249809
95.4	2655.466553	34.241409
104.9	2957.851807	34.709763
114.4	3831.435547	35.833618
124.0	1819.467529	32.599445
133.5	9300.560547	39.685093
143.0	11598.089844	40.643864
152.6	6145.091309	37.885284
162.1	2235.487549	33.493721
171.7	7136.733398	38.534996
181.2	6963.324219	38.428165
190.7	6509.700684	38.135609
200.3	5929.813965	37.730412
209.8	7707.309570	38.869026
219.3	8355.265625	39.219604
228.9	3651.585938	35.624813
238.4	5223.132324	37.179310
248.0	1330.114624	31.238890
257.5	5917.645508	37.721489
267.0	6121.827148	37.868809
276.6	1623.424072	32.104321
286.1	4419.440430	36.453674
295.6	3315.222168	35.205124
305.2	1940.622192	32.879410
314.7	1872.770874	32.724846
324.2	1321.694946	31.211311
333.8	1707.145630	32.322704
343.3	855.186340	29.320606
352.9	1270.945068	31.041267
362.4	1322.713257	31.214657
371.9	1105.257324	30.434635
381.5	3122.817627	34.945465
391.0	1710.115601	32.330254
400.5	2014.778687	33.042274
410.1	1334.122681	31.251957
419.6	1724.037842	32.365467
429.1	40425.527344	46.066555
438.7	82097.882812	49.143318
448.2	40781.332031	46.104614
457.8	3399.322998	35.313923
467.3	4232.613281	36.266087
476.8	3811.622559	35.811100
486.4	1977.412720	32.960972
495.9	2330.371582	33.674252
505.4	3573.935547	35.531467
515.0	1884.803955	32.752663
524.5	3756.278564	35.747578
534.1	4587.126465	36.615406
543.6	1272.027466	31.044964
553.1	1566.947266	31.950542
562.7	1372.655151	31.375614
572.2	1034.321045	30.146553
581.7	563.640869	27.510025
591.3	1463.991943	31.655388
600.8	1216.834351	30.852316
610.3	1427.056763	31.544415
619.9	1792.635010	32.534920
629.4	452.295990	26.554226
639.0	1957.626343	32.917297
648.5	3273.188965	35.149712
658.0	1960.283081	32.923187
667.6	704.435242	28.478411
677.1	996.611572	29.985258
686.6	470.343475	26.724152
696.2	892.258789	29.504910
705.7	473.739990	26.755400
715.2	1031.467651	30.134556
724.8	1615.461060	32.082966
734.3	2565.221436	34.091248
743.9	3208.203369	35.062618
753.4	3731.500732	35.718838
762.9	3189.530762	35.037266
772.5	2209.826660	33.443581
782.0	1754.775269	32.442215
791.5	599.279907	27.776297
801.1	980.971680	29.916565
810.6	2414.694824	33.828625
820.1	2793.345459	34.461246
829.7	539.847900	27.322714
839.2	1271.473755	31.043074
848.8	1125.533325	30.513584
858.3	365.904480	25.633678
867.8	1926.843994	32.848465
877.4	1728.272583	32.376122
886.9	2065.527344	33.150311
896.4	1096.934082	30.401804
906.0	2364.506836	33.737408
915.5	3010.626953	34.786572
925.1	3806.704834	35.805492
934.6	4967.081055	36.961014
944.1	3445.306152	35.372280
953.7	675.218811	28.294447
963.2	990.205139	29.957253
972.7	2038.011353	33.092064
982.3	373.518707	25.723124
991.8	939.417664	29.728586
1001.3	1390.837036	31.432762
1010.9	965.145264	29.845926
1020.4	1134.694946	30.548792
