SampleRate=19531, frq_max = 0.0, mag_max = 8341473.500000
Freq	Mag	Mag(dB)
0.0	8341473.500000	69.212425
9.5	4171576.500000	66.203003
19.1	2854.427490	34.555191
28.6	7245.679688	38.600792
38.1	10470.023438	40.199474
47.7	10028.035156	40.012161
57.2	7224.190918	38.587891
66.8	7131.498535	38.531807
76.3	15149.080078	41.803860
85.8	6738.462402	38.285606
95.4	1300.804443	31.142120
104.9	1741.613525	32.409519
114.4	2338.100830	33.688633
124.0	1695.500610	32.292980
133.5	765.518188	28.839554
143.0	2490.020508	33.962029
152.6	2547.227783	34.060677
162.1	1061.198975	30.257969
171.7	3324.394531	35.217125
181.2	2148.975098	33.322311
190.7	8939.521484	39.513142
200.3	7263.881348	38.611687
209.8	8230.996094	39.154526
219.3	10142.889648	40.061615
228.9	6000.166016	37.781631
238.4	3959.755127	35.976685
248.0	6115.288574	37.864170
257.5	7327.691406	38.649670
267.0	5730.385254	37.581837
276.6	1927.910400	32.850868
286.1	1306.300903	31.160433
295.6	715.969604	28.548946
305.2	3767.561523	35.760605
314.7	5263.133301	37.212444
324.2	2896.609375	34.618900
333.8	1536.363281	31.864939
343.3	1739.443481	32.404102
352.9	1484.963257	31.717157
362.4	2450.293213	33.892181
371.9	2818.893799	34.500786
381.5	2979.411621	34.741306
391.0	4474.015137	36.506973
400.5	2295.653320	33.609062
410.1	1257.769775	30.996014
419.6	1402.478882	31.468964
429.1	1799.338257	32.551128
438.7	2993.989502	34.762501
448.2	2456.784912	33.903671
457.8	640.626526	28.066048
467.3	2958.042725	34.710045
476.8	4194.064453	36.226353
486.4	2837.588135	34.529491
495.9	2412.504883	33.824684
505.4	1753.109985	32.438091
515.0	2083.109863	33.187122
524.5	3772.368652	35.766140
534.1	1990.137329	32.988831
543.6	1120.759888	30.495127
553.1	1020.434998	30.087852
562.7	355.401031	25.507187
572.2	3295.275391	35.178917
581.7	4316.578125	36.351398
591.3	1548.278076	31.898489
600.8	4036.549805	36.060104
610.3	2761.889404	34.412064
619.9	1123.699829	30.506504
629.4	1424.538696	31.536741
639.0	352.253784	25.468557
648.5	1510.449097	31.791059
658.0	2523.101318	34.019348
667.6	699.552734	28.448204
