SampleRate=19531, frq_max = 104.9, mag_max = 17.757982
Freq	Mag	Mag(dB)
0.0	5.285666	7.230997
9.5	13.989546	11.458035
19.1	5.935134	7.734306
28.6	10.082918	10.035863
38.1	6.641661	8.222767
47.7	10.480721	10.203913
57.2	8.771079	9.430531
66.8	2.597147	4.144965
76.3	3.704322	5.687087
85.8	3.547179	5.498831
95.4	12.527408	10.978612
104.9	17.757982	12.493936
114.4	14.966052	11.751072
124.0	6.657646	8.233207
133.5	7.951930	9.004725
143.0	1.453070	1.622864
152.6	1.775375	2.492901
162.1	6.434895	8.085414
171.7	7.042600	8.477330
181.2	9.648026	9.844385
190.7	12.793179	11.069784
200.3	12.944471	11.120843
209.8	3.416344	5.335616
219.3	10.747791	10.313192
228.9	7.007503	8.455633
238.4	3.405064	5.321252
248.0	7.144863	8.539939
257.5	8.835502	9.462312
267.0	4.739622	6.757437
276.6	4.068270	6.094098
286.1	6.864100	8.365836
295.6	7.661143	8.842936
305.2	7.124383	8.527472
314.7	5.693551	7.553833
324.2	4.855546	6.862381
333.8	1.417061	1.513886
343.3	7.760386	8.898833
352.9	4.772375	6.787345
362.4	6.851998	8.358172
371.9	7.706367	8.868498
381.5	7.978313	9.019112
391.0	2.773682	4.430566
400.5	2.183743	3.392016
410.1	5.068291	7.048616
419.6	4.611272	6.638207
429.1	2.746084	4.387139
438.7	1.306533	1.161202
448.2	1.443902	1.595377
457.8	2.848998	4.546922
467.3	2.420953	3.839864
476.8	1.872033	2.723135
486.4	3.518361	5.463404
495.9	5.429337	7.347467
505.4	4.779669	6.793978
515.0	4.495359	6.527644
524.5	3.879458	5.887711
534.1	2.726360	4.355832
543.6	7.330958	8.651608
553.1	4.462521	6.495802
562.7	4.219428	6.252536
572.2	3.993346	6.013370
581.7	5.243471	7.196188
591.3	7.652786	8.838196
600.8	5.349998	7.283537
610.3	2.990731	4.757774
619.9	4.045179	6.069378
629.4	1.298595	1.134737
639.0	1.797640	2.547027
648.5	1.745845	2.420058
658.0	3.066280	4.866118
667.6	1.533677	1.857339
677.1	0.461635	-3.357016
686.6	0.122406	-9.121990
696.2	3.318238	5.209075
705.7	5.470315	7.380124
715.2	3.524817	5.471367
724.8	1.965333	2.934361
734.3	2.040852	3.098116
743.9	1.759924	2.454939
753.4	1.700742	2.306383
762.9	2.827537	4.514083
772.5	2.958067	4.710080
782.0	3.071751	4.873860
791.5	1.603976	2.051977
801.1	1.371576	1.372197
810.6	2.538564	4.045881
820.1	1.286593	1.094413
829.7	2.978534	4.740025
839.2	0.856367	-0.673401
848.8	2.309863	3.635862
858.3	2.185483	3.395474
867.8	7.692142	8.860473
877.4	5.582215	7.468066
886.9	3.514517	5.458656
896.4	3.515925	5.460396
906.0	1.807662	2.571172
915.5	2.615888	4.176191
925.1	1.265495	1.022604
934.6	2.633196	4.204832
944.1	4.581288	6.609876
953.7	2.495834	3.972157
963.2	1.131692	0.537282
972.7	0.608128	-2.160050
982.3	0.592937	-2.269914
991.8	0.769521	-1.137794
1001.3	0.229939	-6.383867
1010.9	1.387822	1.423338
1020.4	2.589589	4.132308
1030.0	3.961957	5.979097
1039.5	2.099985	3.222162
1049.0	4.231786	6.265237
1058.6	1.916403	2.824869
1068.1	1.658558	2.197308
1077.6	1.894228	2.774322
1087.2	3.555531	5.509045
1096.7	0.708945	-1.493873
1106.2	2.536780	4.042829
1115.8	1.878708	2.738592
1125.3	0.896088	-0.476495
1134.9	0.778726	-1.086156
1144.4	0.642870	-1.918770
1153.9	2.173553	3.371701
1163.5	4.549225	6.579375
1173.0	2.983143	4.746741
1182.5	4.024505	6.047125
1192.1	3.490970	5.429461
1201.6	3.543546	5.494381
1211.2	2.801054	4.473215
1220.7	2.623156	4.188241
1230.2	2.177504	3.379589
1239.8	2.152529	3.329489
1249.3	0.425998	-3.705929
1258.8	1.064696	0.272256
1268.4	1.873939	2.727555
1277.9	3.256631	5.127685
1287.4	5.095949	7.072251
1297.0	3.798041	5.795597
1306.5	1.909018	2.808100
1316.1	1.854706	2.682751
1325.6	0.776867	-1.096532
1335.1	2.011629	3.035480
1344.7	2.439703	3.873370
1354.2	3.010863	4.786911
1363.7	2.547913	4.061845
1373.3	2.866631	4.573718
1382.8	1.780115	2.504482
1392.3	3.015698	4.793878
1401.9	2.765276	4.417385
1411.4	2.662925	4.253589
1421.0	1.759370	2.453571
1430.5	0.261343	-5.827894
1440.0	0.591001	-2.284116
1449.6	1.827544	2.618678
1459.1	1.552776	1.911088
1468.6	1.495456	1.747735
1478.2	3.098087	4.910936
1487.7	3.623835	5.591684
1497.2	4.063411	6.088907
1506.8	3.303893	5.190260
1516.3	2.516058	4.007207
1525.9	0.800331	-0.967306
1535.4	2.231135	3.485259
1544.9	0.878445	-0.562854
1554.5	0.813030	-0.898932
1564.0	2.034541	3.084664
1573.5	1.620507	2.096508
1583.1	0.507539	-2.945302
1592.6	0.919893	-0.362628
1602.2	1.840186	2.648618
1611.7	1.526163	1.836010
1621.2	1.566448	1.949159
1630.8	1.482255	1.709230
1640.3	0.915031	-0.385643
1649.8	3.792535	5.789297
1659.4	3.314666	5.204397
1668.9	1.414847	1.507096
1678.4	0.915412	-0.383832
1688.0	0.956684	-0.192315
1697.5	2.446265	3.885035
1707.1	2.761130	4.410869
1716.6	1.396847	1.451488
1726.1	2.685663	4.290514
1735.7	2.224949	3.473201
1745.2	1.557365	1.923904
1754.7	2.727951	4.358365
1764.3	3.200329	5.051947
1773.8	2.067740	3.154959
1783.3	0.355574	-4.490705
1792.9	3.275330	5.152551
1802.4	3.861818	5.867918
1812.0	1.390272	1.430999
1821.5	1.522740	1.826259
1831.0	1.975043	2.955766
1840.6	3.237792	5.102489
1850.1	0.343608	-4.639368
1859.6	2.372962	3.752908
1869.2	1.710906	2.332262
1878.7	1.161258	0.649287
1888.3	2.088188	3.197696
1897.8	2.270403	3.561029
1907.3	2.319432	3.653817
1916.9	2.330037	3.673627
1926.4	2.327499	3.668896
1935.9	2.790261	4.456449
1945.5	2.486485	3.955858
1955.0	2.029117	3.073071
1964.5	1.422332	1.530010
1974.1	2.078143	3.176755
1983.6	1.718017	2.350274
1993.2	1.202322	0.800208
2002.7	1.042731	0.181724
2012.2	2.634572	4.207101
2021.8	1.435974	1.571465
2031.3	0.972766	-0.119914
2040.8	1.537790	1.868970
2050.4	1.814397	2.587324
2059.9	0.661309	-1.795958
2069.4	0.884036	-0.535301
2079.0	0.876923	-0.570383
2088.5	0.755380	-1.218345
2098.1	1.267054	1.027952
2107.6	2.466510	3.920829
2117.1	1.817285	2.594231
2126.7	1.455297	1.629517
2136.2	2.561494	4.084934
2145.7	1.939483	2.876861
2155.3	1.399961	1.461158
2164.8	1.709015	2.327458
2174.3	1.084902	0.353906
2183.9	1.169145	0.678684
2193.4	1.635700	2.137037
2203.0	1.203287	0.803694
2212.5	1.878798	2.738801
2222.0	2.445975	3.884520
2231.6	2.965945	4.721632
2241.1	2.212153	3.448151
2250.6	1.906117	2.801495
2260.2	1.195492	0.775465
2269.7	2.073601	3.167251
2279.3	1.137625	0.559992
2288.8	1.392606	1.438283
2298.3	2.008756	3.029272
2307.9	1.262352	1.011805
2317.4	1.226233	0.885732
2326.9	1.188636	0.750488
2336.5	2.316200	3.647761
2346.0	3.649618	5.622474
2355.5	2.634825	4.207519
2365.1	1.247857	0.961648
2374.6	1.052596	0.222616
2384.2	0.690693	-1.607146
2393.7	0.136074	-8.662250
2403.2	1.203125	0.803107
2412.8	2.908219	4.636271
2422.3	2.011202	3.034556
2431.8	0.057850	-12.376963
2441.4	0.676372	-1.698146
2450.9	0.878154	-0.564296
2460.4	1.245092	0.952016
2470.0	2.180332	3.385227
2479.5	1.565247	1.945830
2489.1	1.212089	0.835344
2498.6	0.803399	-0.950687
2508.1	0.311000	-5.072397
2517.7	0.715020	-1.456817
2527.2	1.198025	0.784659
2536.7	2.942633	4.687361
2546.3	3.393434	5.306394
2555.8	2.830343	4.518392
2565.4	2.267450	3.555377
2574.9	2.218764	3.461110
2584.4	1.715857	2.344810
2594.0	0.268655	-5.708058
2603.5	1.095023	0.394232
2613.0	1.719638	2.354370
2622.6	0.859347	-0.658313
2632.1	0.526147	-2.788927
2641.6	1.861227	2.697993
2651.2	3.002798	4.775261
2660.7	1.714041	2.340212
2670.3	0.977887	-0.097112
2679.8	0.834581	-0.785313
2689.3	1.044569	0.189369
2698.9	1.124837	0.510895
2708.4	0.686749	-1.632019
2717.9	0.808219	-0.924708
2727.5	1.082718	0.345153
2737.0	0.876777	-0.571110
2746.5	0.341279	-4.668909
2756.1	0.305181	-5.154419
2765.6	0.066587	-11.766127
2775.2	0.854771	-0.681500
2784.7	0.905151	-0.432788
2794.2	4.755108	6.771604
2803.8	4.100465	6.128331
2813.3	1.228437	0.893528
2822.8	0.219118	-6.593213
2832.4	0.457803	-3.393214
2841.9	0.427497	-3.690670
2851.4	1.390716	1.432385
2861.0	2.574544	4.107003
2870.5	2.830229	4.518216
2880.1	1.864297	2.705151
2889.6	0.990370	-0.042025
2899.1	0.654517	-1.840792
2908.7	1.516412	1.808172
2918.2	1.727420	2.373979
2927.7	0.856265	-0.673919
