
SampleRate=78125, frq_max = 12970.0, mag_max = 449.919586
Freq	Mag	Mag(dB)
0.0	21.795322	13.383633
38.1	68.088478	18.330736
76.3	98.660927	19.941452
114.4	71.825829	18.562807
152.6	18.932066	12.771979
190.7	11.071535	10.442078
228.9	15.480529	11.897859
267.0	10.177475	10.076400
305.2	10.246845	10.105902
343.3	9.736807	9.884166
381.5	5.203213	7.162716
419.6	9.242179	9.657743
457.8	9.280267	9.675605
495.9	3.581978	5.541230
534.1	14.211196	11.526306
572.2	12.818083	11.078232
610.4	3.898897	5.909418
648.5	4.283486	6.317974
686.6	6.580298	8.182456
724.8	6.098191	7.852010
762.9	11.404001	10.570573
801.1	8.502696	9.295567
839.2	7.941764	8.999170
877.4	11.952532	10.774599
915.5	11.590039	10.640849
953.7	5.759841	7.604105
991.8	6.643374	8.223887
1030.0	2.394730	3.792566
1068.1	5.316948	7.256625
1106.3	7.014901	8.460216
1144.4	4.120364	6.149356
1182.6	7.584640	8.799349
1220.7	10.301186	10.128872
1258.9	2.663474	4.254485
1297.0	5.318853	7.258181
1335.1	1.575510	1.974211
1373.3	7.924982	8.989983
1411.4	4.907153	6.908296
1449.6	3.191927	5.040530
1487.7	7.860499	8.954501
1525.9	8.250147	9.164618
1564.0	6.168334	7.901679
1602.2	2.201170	3.426537
1640.3	4.240226	6.273890
1678.5	2.463803	3.916059
1716.6	3.019372	4.799166
1754.8	2.669386	4.264114
1792.9	4.273546	6.307883
1831.1	1.028968	0.124017
1869.2	1.203757	0.805387
1907.3	1.626018	2.111253
1945.5	5.385833	7.312529
1983.6	4.846985	6.854716
2021.8	3.448438	5.376225
2059.9	2.867749	4.575411
2098.1	0.794096	-1.001268
2136.2	0.798641	-0.976486
2174.4	3.205567	5.059049
2212.5	2.675336	4.273784
2250.7	0.759360	-1.195520
2288.8	1.884819	2.752696
2327.0	2.327677	3.669228
2365.1	1.148412	0.600978
2403.3	3.062147	4.860260
2441.4	2.791049	4.457674
2479.6	0.872669	-0.591503
2517.7	2.043806	3.104396
2555.8	2.405610	3.812252
2594.0	2.639905	4.215882
2632.1	1.991667	2.992167
2670.3	1.210406	0.829312
2708.4	0.386162	-4.132305
2746.6	1.955098	2.911685
2784.7	5.729526	7.581186
2822.9	2.847445	4.544553
2861.0	1.541468	1.879346
2899.2	1.266535	1.026173
2937.3	0.938052	-0.277730
2975.5	2.058984	3.136530
3013.6	2.788612	4.453880
3051.8	1.999967	3.010229
3089.9	1.285481	1.090656
3128.1	2.753899	4.399480
3166.2	2.991057	4.758246
3204.3	2.623012	4.188003
3242.5	0.785846	-1.046623
3280.6	0.574776	-2.405014
3318.8	0.341990	-4.659862
3356.9	1.088981	0.370202
3395.1	0.882077	-0.544936
3433.2	1.710603	2.331493
3471.4	2.567892	4.095767
3509.5	1.350393	1.304602
3547.7	2.489674	3.961425
3585.8	4.421739	6.455931
3624.0	4.295169	6.329803
3662.1	3.561102	5.515845
3700.3	2.266929	3.554379
3738.4	2.653839	4.238745
3776.6	3.359029	5.262137
3814.7	1.414332	1.505515
3852.8	0.770347	-1.133138
3891.0	0.405660	-3.918375
3929.1	0.796247	-0.989524
3967.3	0.826971	-0.825095
4005.4	0.504172	-2.974217
4043.6	0.550838	-2.589761
4081.7	1.271814	1.044237
4119.9	2.736151	4.371401
4158.0	1.779648	2.503341
4196.2	0.543611	-2.647121
4234.3	0.419123	-3.776590
4272.5	0.359802	-4.439362
4310.6	0.652089	-1.856930
4348.8	0.947242	-0.235391
4386.9	2.652926	4.237251
4425.0	2.518801	4.011938
4463.2	0.951399	-0.216374
4501.3	1.686954	2.271034
4539.5	2.280156	3.579646
4577.6	2.159012	3.342551
4615.8	2.700969	4.315195
4653.9	1.367042	1.357819
4692.1	0.649830	-1.872001
4730.2	1.920122	2.833287
4768.4	2.237226	3.497099
4806.5	1.356572	1.324430
4844.7	2.669622	4.264498
4882.8	0.727908	-1.379238
4921.0	1.911236	2.813143
4959.1	1.075650	0.316709
4997.3	0.973640	-0.116017
5035.4	1.967819	2.939851
5073.5	1.771191	2.482653
5111.7	1.151048	0.610935
5149.8	2.275816	3.571372
5188.0	2.816061	4.496421
5226.1	1.989110	2.986588
5264.3	2.918881	4.652164
5302.4	2.674583	4.272561
5340.6	0.370490	-4.312239
5378.7	1.258080	0.997083
5416.9	1.687335	2.272012
5455.0	1.187477	0.746252
5493.2	1.186474	0.742581
5531.3	1.141193	0.573589
5569.5	1.049052	0.207972
5607.6	1.142323	0.577889
5645.8	0.710240	-1.485947
5683.9	1.940830	2.879875
5722.0	2.238798	3.500149
5760.2	1.149731	0.605964
5798.3	0.262603	-5.806999
5836.5	0.767177	-1.151042
5874.6	1.580476	1.987880
5912.8	3.208760	5.063373
5950.9	4.057024	6.082076
5989.1	3.079298	4.884518
6027.2	2.418587	3.835617
6065.4	1.369965	1.367095
6103.5	1.197565	0.782990
6141.7	2.946790	4.693492
6179.8	1.907613	2.804902
6218.0	1.186353	0.742139
6256.1	0.914859	-0.386460
6294.3	1.331663	1.243942
6332.4	1.249218	0.966384
6370.5	1.159468	0.642589
6408.7	1.478505	1.698228
6446.8	2.134129	3.292207
6485.0	2.606613	4.160765
6523.1	1.240499	0.935965
6561.3	0.282116	-5.495717
6599.4	0.329961	-4.815368
6637.6	0.394569	-4.038767
6675.7	0.937095	-0.282164
6713.9	1.546751	1.894205
6752.0	1.888783	2.761821
6790.2	1.784760	2.515800
6828.3	1.559315	1.929338
6866.5	1.376483	1.387709
6904.6	0.926400	-0.332013
6942.7	1.384904	1.414197
6980.9	1.219665	0.862404
7019.0	2.412683	3.825003
7057.2	2.561417	4.084802
7095.3	1.781457	2.507754
7133.5	1.686073	2.268763
7171.6	1.282258	1.079754
7209.8	0.430192	-3.663378
7247.9	1.222918	0.873975
7286.1	1.353384	1.314210
7324.2	0.955043	-0.199772
7362.4	1.173914	0.696364
7400.5	2.454712	3.900005
7438.7	2.438306	3.870882
7476.8	1.278690	1.067653
7515.0	2.394845	3.792773
7553.1	2.317655	3.650487
7591.2	1.382916	1.407957
7629.4	1.182089	0.726501
7667.5	1.709220	2.327980
7705.7	0.861048	-0.649728
7743.8	1.614794	2.081172
7782.0	1.202158	0.799614
7820.1	1.464477	1.656826
7858.3	1.905866	2.800924
7896.4	0.111895	-9.511882
7934.6	2.033244	3.081896
7972.7	2.547451	4.061059
8010.9	1.625731	2.110486
8049.0	1.389946	1.429978
8087.2	0.804364	-0.945476
8125.3	1.531521	1.851229
8163.5	0.860661	-0.651679
8201.6	1.475482	1.689338
8239.7	2.112974	3.248941
8277.9	1.106290	0.438690
8316.0	0.893426	-0.489414
8354.2	2.917042	4.649427
8392.3	2.832968	4.522418
8430.5	1.746146	2.420805
8468.6	1.144997	0.588045
8506.8	1.279594	1.070723
8544.9	1.757999	2.450186
8583.1	2.167636	3.359864
8621.2	1.312881	1.182254
8659.4	0.897110	-0.471542
8697.5	0.188323	-7.250967
8735.7	1.228929	0.895268
8773.8	1.464981	1.658321
8812.0	0.708428	-1.497040
8850.1	1.090183	0.374993
8888.2	1.132876	0.541824
8926.4	0.375670	-4.251936
8964.5	1.985049	2.977712
9002.7	3.006319	4.780351
9040.8	1.338614	1.266552
9079.0	1.467972	1.667176
9117.1	2.011518	3.035239
9155.3	2.780511	4.441246
9193.4	2.261013	3.543031
9231.6	1.891831	2.768824
9269.7	1.184721	0.736160
9307.9	0.089899	-10.462461
9346.0	0.875209	-0.578882
9384.2	0.845371	-0.729527
9422.3	0.914302	-0.389106
9460.4	0.533988	-2.724683
9498.6	1.490189	1.732413
9536.7	1.673580	2.236465
9574.9	1.968195	2.940681
9613.0	1.659287	2.199216
9651.2	1.909163	2.808429
9689.3	2.815737	4.495921
9727.5	2.557743	4.078569
9765.6	2.554424	4.072929
9803.8	1.775166	2.492389
9841.9	1.169415	0.679685
9880.1	2.027771	3.070189
9918.2	0.971761	-0.124404
9956.4	1.787446	2.522330
9994.5	2.627357	4.195190
10032.7	2.878475	4.591624
10070.8	1.447598	1.606479
10108.9	0.470759	-3.272015
10147.1	1.871543	2.721997
10185.2	2.884253	4.600334
10223.4	2.727262	4.357269
10261.5	2.266620	3.553787
10299.7	1.272301	1.045899
10337.8	1.366627	1.356499
10376.0	1.068771	0.288846
10414.1	2.258785	3.538748
10452.3	3.375019	5.282762
10490.4	2.485873	3.954789
10528.6	0.344071	-4.633524
10566.7	0.815344	-0.886592
10604.9	2.037358	3.090674
10643.0	2.464037	3.916472
10681.2	1.014616	0.063016
10719.3	1.216132	0.849808
10757.4	2.102005	3.226338
10795.6	2.080643	3.181977
10833.7	1.166592	0.669188
10871.9	1.548774	1.899880
10910.0	1.219674	0.862436
10948.2	1.676822	2.244869
10986.3	0.501592	-2.996493
11024.5	2.013840	3.040250
11062.6	1.141956	0.576493
11100.8	2.859190	4.562429
11138.9	1.746966	2.422845
11177.1	0.793335	-1.005436
11215.2	1.077771	0.325265
11253.4	1.186080	0.741141
11291.5	0.641429	-1.928513
